TargetNode	01	02	03	04	05	06	07	08	09	10
Clostridium	Clostridium;_CM000604.1;_TOPREFPERCREADS100	Clostridium_chauvoei;_CP018630.1;_TOPREFPERCREADS038	Clostridium_perfringens;_AP017630.1;_TOPREFPERCREADS038	Clostridium_perfringens;_CP010994.1;_TOPREFPERCREADS038	Clostridium_ljungdahlii_DSM_13528;_CP001666.1;_TOPREFPERCREADS033	Clostridium_botulinum_B_str._Eklund_17B_(NRP);_CP001056.1;_TOPREFPERCREADS027	Clostridium_chauvoei;_CP018624.1;_TOPREFPERCREADS027	Clostridium_perfringens_ATCC_13124;_CP000246.1;_TOPREFPERCREADS027	Clostridium_perfringens_SM101;_CP000312.1;_TOPREFPERCREADS027	Clostridium_bornimense;_HG917868.1;_TOPREFPERCREADS027
Clostridium_aceticum	Clostridium_aceticum;_CP009687.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_argentinense	Clostridium_argentinense;_CP014176.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_bornimense	Clostridium_bornimense;_HG917868.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_botulinum	Clostridium_botulinum;_CP013243.1;_TOPREFPERCREADS100	Megasphaera_elsdenii_14-14;_CP009240.1;_TOPREFPERCREADS100	Clostridium_botulinum_BKT015925;_CP002410.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA
Clostridium_botulinum_BKT015925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_botulinum_E3_str._Alaska_E43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_butyricum	Clostridium_butyricum;_CP013239.1;_TOPREFPERCREADS100	Clostridium_tyrobutyricum;_CP016280.1;_TOPREFPERCREADS050	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_cochlearium	Clostridium_cochlearium;_LT906477.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_formicaceticum	Clostridium_formicaceticum;_CP017603.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_kluyveri	Clostridium_kluyveri_DSM_555;_CP000673.1;_TOPREFPERCREADS100	Clostridium_kluyveri_NBRC_12016;_AP009049.1;_TOPREFPERCREADS000	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_pasteurianum_BC1	Clostridium_pasteurianum_BC1;_CP003261.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_perfringens	Clostridium_perfringens;_CP023410.1;_TOPREFPERCREADS100	Clostridium_perfringens_SM101;_CP000312.1;_TOPREFPERCREADS000	Ruminococcus_bicirculans;_HF545617.1;_TOPREFPERCREADS000	Ruminococcus_bicirculans;_HF545616.1;_TOPREFPERCREADS000	Clostridium_perfringens_F262;_JH621339.1;_TOPREFPERCREADS000	Clostridium_perfringens_str._13;_BA000016.3;_TOPREFPERCREADS000	Clostridium_perfringens_ATCC_13124;_CP000246.1;_TOPREFPERCREADS000	NA	NA	NA
Clostridium_perfringens_F262	Selenomonas_ruminantium_subsp._lactilytica_TAM6421;_AP012292.1;_TOPREFPERCREADS100	Pelosinus_fermentans_JBW45;_CP010978.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_sp._BNL1100	Clostridium_sp._BNL1100;_CP003259.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_sp._SY8519	Clostridium_sp._SY8519;_AP012212.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_sporogenes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_taeniosporum	Clostridium_taeniosporum;_CP017253.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_tetani	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_tetani_12124569	Clostridium_tetani_12124569;_HG530135.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_tetani_E88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clostridium_tyrobutyricum	Clostridium_tyrobutyricum;_CP016280.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coccidioides_immitis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coccidioides_posadasii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Corynebacterium_diphtheriae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cowpox-Vaccinia_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cowpox_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coxiella_burnetii	Coxiella_burnetii_'MSU_Goat_Q177';_CP018150.1;_TOPREFPERCREADS100	Coxiella_burnetii_RSA_493;_AE016828.3;_TOPREFPERCREADS000	Coxiella_burnetii_RSA_331;_CP000890.1;_TOPREFPERCREADS000	Coxiella_burnetii_Cb175_Guyana;_HG825990.3;_TOPREFPERCREADS000	Coxiella_burnetii;_CP018005.1;_TOPREFPERCREADS000	Coxiella_burnetii;_CP013667.1;_TOPREFPERCREADS000	Coxiella_burnetii;_CP020616.1;_TOPREFPERCREADS000	Coxiella_burnetii_CbuK_Q154;_CP001020.1;_TOPREFPERCREADS000	Coxiella_burnetii_Dugway_5J108-111;_CP000733.1;_TOPREFPERCREADS000	Coxiella_burnetii_CbuG_Q212;_CP001019.1;_TOPREFPERCREADS000
Cryptococcus_neoformans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cynomolgus_Epstein-Barr_Virus_A4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cynomolgus_Epstein-Barr_Virus_Si-IIA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cynomolgus_Epstein-Barr_Virus_TsB-B6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Enterobius_vermicularis	Enterobius_vermicularis;_LM428655.1;_TOPREFPERCREADS100	Bacteroides_vulgatus_ATCC_8482;_CP000139.1;_TOPREFPERCREADS100	Blastomyces_dermatitidis_ER-3;_EQ999973.1;_TOPREFPERCREADS100	Trypanosoma_cruzi_strain_CL_Brener;_NW_916994.1;_TOPREFPERCREADS050	Toxoplasma_gondii_ME49;_NW_017384792.1;_TOPREFPERCREADS050	Toxoplasma_gondii_ME49;_NW_017385167.1;_TOPREFPERCREADS050	Toxoplasma_gondii_ME49;_NC_031477.1;_TOPREFPERCREADS050	Homo_sapiens;_NC_000009.12;_TOPREFPERCREADS050	Homo_sapiens;_NW_011332699.1;_TOPREFPERCREADS050	Homo_sapiens;_NC_000010.11;_TOPREFPERCREADS050
Epstein-barr_virus_strain_ag876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Epstein-barr_virus_strain_p3hr-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli	Escherichia_coli_KLY;_CP008801.1;_TOPREFPERCREADS100	Escherichia_coli_str._K-12_substr._MG1655;_AKVX01000001.1;_TOPREFPERCREADS099	Escherichia_coli_str._K-12_substr._MG1655;_AKBV01000001.1;_TOPREFPERCREADS099	Escherichia_coli_str._K-12_substr._W3110;_AP009048.1;_TOPREFPERCREADS099	Escherichia_coli_str._K-12_substr._MG1655;_U00096.3;_TOPREFPERCREADS099	Escherichia_coli_DH1;_CP001637.1;_TOPREFPERCREADS099	Escherichia_coli_BW25113;_CP009273.1;_TOPREFPERCREADS099	Escherichia_coli_DH1;_AP012030.1;_TOPREFPERCREADS099	Escherichia_coli_str._K-12_substr._MG1655star;_CM000960.1;_TOPREFPERCREADS099	Escherichia_coli_str._K-12_substr._DH10B;_CP000948.1;_TOPREFPERCREADS099
Escherichia_coli_ATCC_25922	Escherichia_coli_ATCC_25922;_CP009074.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_ATCC_8739	Escherichia_coli_ATCC_8739;_CP000946.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_B7A	Escherichia_coli_B7A;_CP006001.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_CFT073	Escherichia_coli_CFT073;_AE014075.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_ECC-1470	Escherichia_coli_ECC-1470;_CP010345.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_ETEC_H10407	Escherichia_coli_ETEC_H10407;_FN649417.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_O111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_O127:H6	Escherichia_coli_O127:H6_str._E2348/69;_FM180568.1;_TOPREFPERCREADS100	Escherichia_coli_O127:H6;_LT903847.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_O139:H28_str._E24377A	Escherichia_coli_O139:H28_str._E24377A;_CP000801.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_O145:H28	Escherichia_coli_O145:H28_str._RM13516;_CP006262.1;_TOPREFPERCREADS100	Escherichia_coli_O145:H28_str._RM12761;_CP007133.1;_TOPREFPERCREADS100	Escherichia_coli_O145:H28_str._RM12581;_CP007136.1;_TOPREFPERCREADS100	Escherichia_coli_O145:H28_str._RM13514;_CP006027.1;_TOPREFPERCREADS100	Escherichia_albertii_KF1;_CP007025.1;_TOPREFPERCREADS050	Escherichia_coli_O145:H28_str._RM12761;_CP007135.1;_TOPREFPERCREADS050	Escherichia_coli_O145:H28_str._RM12581;_CP007138.1;_TOPREFPERCREADS050	Escherichia_coli_O145:H28_str._RM13514;_CP006028.1;_TOPREFPERCREADS050	Escherichia_coli_VR50;_CP011134.1;_TOPREFPERCREADS050	NA
Escherichia_coli_O157:H16	Escherichia_coli_O157:H16;_CP007592.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_O157:H7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_O26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_O26:H11_str._11368	Escherichia_coli_O26:H11_str._11368;_AP010953.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_O7:K1_str._CE10	Escherichia_coli_O7:K1_str._CE10;_CP003034.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_RS218	Escherichia_coli_RS218;_CP007149.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_SMS-3-5	Escherichia_coli_SMS-3-5;_CP000970.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_UMNF18	Escherichia_coli_UMNF18;_AGTD01000006.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_UMNK88	Escherichia_coli_UMNK88;_CP002729.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli_VR50	Escherichia_coli_VR50;_CP011134.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_coli__BL21-Gold(DE3)pLysS_AG_	Escherichia_coli_'BL21-Gold(DE3)pLysS_AG';_CP001665.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fusobacterium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fusobacterium_hwasookii	Fusobacterium_hwasookii_ChDC_F206;_CP013336.1;_TOPREFPERCREADS100	Fusobacterium_hwasookii_ChDC_F174;_CP013331.1;_TOPREFPERCREADS100	Fusobacterium_hwasookii_ChDC_F300;_CP013334.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA
Fusobacterium_nucleatum	Fusobacterium_nucleatum_subsp._animalis_4_8;_CP003723.1;_TOPREFPERCREADS100	Fusobacterium_hwasookii_ChDC_F206;_CP013336.1;_TOPREFPERCREADS100	Fusobacterium_hwasookii_ChDC_F174;_CP013331.1;_TOPREFPERCREADS100	Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586;_AE009951.2;_TOPREFPERCREADS100	Fusobacterium_nucleatum_subsp._vincentii_3_1_36A2;_CP003700.1;_TOPREFPERCREADS100	Fusobacterium_nucleatum_subsp._vincentii_3_1_27;_CP007064.1;_TOPREFPERCREADS100	Fusobacterium_hwasookii_ChDC_F300;_CP013334.1;_TOPREFPERCREADS100	Fusobacterium_nucleatum_subsp._polymorphum_ATCC_10953;_CM000440.1;_TOPREFPERCREADS100	Fusobacterium_nucleatum_subsp._vincentii_ChDC_F8;_CP012714.1;_TOPREFPERCREADS100	Fusobacterium_nucleatum_subsp._nucleatum_ChDC_F316;_CP012716.1;_TOPREFPERCREADS100
Fusobacterium_nucleatum_subsp._animalis	Fusobacterium_nucleatum_subsp._animalis_21_1A;_CM002368.1;_TOPREFPERCREADS100	Fusobacterium_nucleatum_subsp._animalis;_CP022124.1;_TOPREFPERCREADS100	Fusobacterium_nucleatum_subsp._animalis;_CP012715.1;_TOPREFPERCREADS100	Fusobacterium_nucleatum_subsp._animalis_7_1;_CP007062.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA
Fusobacterium_nucleatum_subsp._polymorphum	Fusobacterium_nucleatum_subsp._polymorphum;_LN831027.1;_TOPREFPERCREADS100	Fusobacterium_nucleatum_subsp._polymorphum_ATCC_10953;_CM000440.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA
Haemophilus_influenzae	Haemophilus_influenzae_10810;_FQ312006.1;_TOPREFPERCREADS100	Haemophilus_influenzae;_CP007470.1;_TOPREFPERCREADS100	Haemophilus_influenzae;_LN831035.1;_TOPREFPERCREADS100	Haemophilus_influenzae;_CP009610.1;_TOPREFPERCREADS100	Haemophilus_influenzae_86-028NP;_CP000057.2;_TOPREFPERCREADS100	Haemophilus_influenzae;_CP017811.1;_TOPREFPERCREADS100	Haemophilus_influenzae_R2846;_CP002276.1;_TOPREFPERCREADS087	Haemophilus_influenzae_R2866;_CP002277.1;_TOPREFPERCREADS087	Haemophilus_influenzae;_CP007472.1;_TOPREFPERCREADS087	Haemophilus_influenzae_PittGG;_CP000672.1;_TOPREFPERCREADS075
Haemophilus_influenzae_2019	Haemophilus_influenzae_2019;_CP008740.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haemophilus_influenzae_F3031	Haemophilus_influenzae_F3031;_FQ670178.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haemophilus_influenzae_F3047	Haemophilus_influenzae_F3047;_FQ670204.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haemophilus_influenzae_KR494	Haemophilus_influenzae_KR494;_CP005967.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haemophilus_influenzae_PittEE	Haemophilus_influenzae_PittEE;_CP000671.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haemophilus_influenzae_PittGG	Haemophilus_influenzae_PittGG;_CP000672.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haemophilus_influenzae_Rd_KW20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Helicobacter_pylori	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hepatitis_B_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hepatitis_E_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hepatitis_delta_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Herpes_simplex_virus_unknown_type	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Histoplasma_capsulatum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_11+34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_11a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_11p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_14a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_14p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_14p1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_15/H9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_16p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_19C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_19a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_19p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_1_strain_Adenoid_71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_21a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_22H8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_3+11p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_3+7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_34a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_35+11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_38H44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_41_Wisconsin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Human_adenovirus_49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
