Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Human_adenovirus_AdV/Berlin643/01/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin682/01/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin718/01/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin749/01/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin769/01/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin859/01/DE	0	0	0	0	na	na
Human_adenovirus_B1	0	0	0	0	na	na
Human_adenovirus_B2	0	0	0	0	na	na
Human_adenovirus_B3	0	0	0	0	na	na
Human_adenovirus_Chiba_E086/2012	0	0	0	0	na	na
Human_adenovirus_D10	0	0	0	0	na	na
Human_adenovirus_D13	0	0	0	0	na	na
Human_adenovirus_D15H9	0	0	0	0	na	na
Human_adenovirus_D17H29	0	0	0	0	na	na
Human_adenovirus_D19H30	0	0	0	0	na	na
Human_adenovirus_D30H44	0	0	0	0	na	na
Human_adenovirus_D37	0	0	0	0	na	na
Human_adenovirus_D37H13	0	0	0	0	na	na
Human_adenovirus_D37H17	0	0	0	0	na	na
Human_adenovirus_D46H13	0	0	0	0	na	na
Human_adenovirus_D8	0	0	0	0	na	na
Human_adenovirus_D9	0	0	0	0	na	na
Human_adenovirus_E4	0	0	0	0	na	na
Human_adenovirus_H02-2B-2	0	0	0	0	na	na
Human_adenovirus_H02-2B-3	0	0	0	0	na	na
Human_adenovirus_H03-2B-1	0	0	0	0	na	na
Human_adenovirus_H08-2B-2	0	0	0	0	na	na
Human_adenovirus_I02-2B-2	0	0	0	0	na	na
Human_adenovirus_I05-2B-2	0	0	0	0	na	na
Human_adenovirus_LZY153B	0	0	0	0	na	na
Human_adenovirus_MKJ/Chennai/2010	0	0	0	0	na	na
Human_adenovirus_RKI-2797/04	0	0	0	0	na	na
Human_adenovirus_S02-2B-1	0	0	0	0	na	na
Human_adenovirus_S03-2B-1	0	0	0	0	na	na
Human_adenovirus_S03-2B-2	0	0	0	0	na	na
Human_adenovirus_S03-2B-3	0	0	0	0	na	na
Human_adenovirus_S05-2B-2	0	0	0	0	na	na
Human_adenovirus_S06-2B-3	0	0	0	0	na	na
Human_adenovirus_S07-2B-2	0	0	0	0	na	na
Human_adenovirus_S08-2B-3	0	0	0	0	na	na
Human_adenovirus_S10-1-6	0	0	0	0	na	na
Human_adenovirus_isolate_MY7/1	0	0	0	0	na	na
Human_adenovirus_isolate_MY8/1	0	0	0	0	na	na
Human_adenovirus_isolate_SGH2289	0	0	0	0	na	na
Human_adenovirus_isolate_SGH5253	0	0	0	0	na	na
Human_adenovirus_type_35p	0	0	0	0	na	na
Human_hepatitis_A_virus	0	0	0	0	na	na
JC_polyomavirus	0	0	0	0	na	na
JC_virus_x_BK_virus	0	0	0	0	na	na
Klebsiella_oxytoca	1791	1318	5423	1318	On	Off
Klebsiella_oxytoca_KONIH1	1	1	1	1	On	Off
Klebsiella_pneumoniae	15	8	150	8	On	Off
Klebsiella_pneumoniae_subsp._pneumoniae	2	0	2	0	On	Off
Klebsiella_pneumoniae_subsp._rhinoscleromatis	0	0	0	0	na	na
Legionella_pneumophila	0	0	0	0	na	na
Leptospira_alexanderi	0	0	0	0	na	na
Leptospira_alstonii	0	0	0	0	na	na
Leptospira_borgpetersenii	0	0	0	0	na	na
Leptospira_broomii	0	0	0	0	na	na
Leptospira_fainei	0	0	0	0	na	na
Leptospira_inadai	0	0	0	0	na	na
Leptospira_interrogans	0	0	0	0	na	na
Leptospira_kirschneri	0	0	0	0	na	na
Leptospira_kmetyi	0	0	0	0	na	na
Leptospira_licerasiae	0	0	0	0	na	na
Leptospira_noguchii	0	0	0	0	na	na
Leptospira_santarosai	0	0	0	0	na	na
Leptospira_weilii	0	0	0	0	na	na
Leptospira_wolffii	0	0	0	0	na	na
Methanobrevibacter_oralis	0	0	0	0	na	na
Moraxella_catarrhalis	0	0	0	0	na	na
Mycobacterium_avium	0	0	0	0	na	na
Mycobacterium_canettii	0	0	0	0	na	na
Mycobacterium_colombiense	0	0	0	0	na	na
Mycobacterium_intracellulare	0	0	0	0	na	na
Mycobacterium_kansasii	0	0	0	0	na	na
Mycobacterium_leprae	0	0	0	0	na	na
Mycobacterium_tuberculosis_complex	0	0	0	0	na	na
Mycoplasma_pneumoniae	0	0	0	0	na	na
Neisseria	2	2	100	2	On	Off
Neisseria_elongata_subsp._glycolytica_ATCC_29315	1	1	1	1	On	Off
Neisseria_gonorrhoeae	0	0	0	0	na	na
Neisseria_meningitidis	3	1	41	1	On	Off
Parvimonas_micra	1	1	1	1	On	Off
Peptostreptococcus_anaerobius	0	0	0	0	na	na
Plasmodium_falciparum	0	0	0	0	na	na
Plasmodium_falciparum_3D7	1	1	1	1	On	Off
Plasmodium_vivax	0	0	0	0	na	na
Pneumocystis_carinii	0	0	0	0	na	na
Pneumocystis_jirovecii	0	0	0	0	na	na
Porphyromonas_gingivalis	13	5	107	5	On	Off
Porphyromonas_gingivalis_A7A1-28	1	1	1	1	On	Off
Porphyromonas_gingivalis_AJW4	2	0	2	0	On	Off
Porphyromonas_gingivalis_W83	0	0	0	0	na	na
Rickettsia_africae	0	0	0	0	na	na
Rickettsia_akari	0	0	0	0	na	na
Rickettsia_conorii	0	0	0	0	na	na
Rickettsia_felis	0	0	0	0	na	na
Rickettsia_japonica	0	0	0	0	na	na
Rickettsia_prowazekii	0	0	0	0	na	na
Rickettsia_rickettsii	0	0	0	0	na	na
Rickettsia_sibirica	0	0	0	0	na	na
Rickettsia_typhi	0	0	0	0	na	na
Salmonella_enterica_subsp._enterica	0	0	0	0	na	na
Salmonella_enterica_subsp._enterica_serovar_India_str._SA20085604	2	2	2	2	On	Off
Salmonella_enterica_subsp._enterica_serovar_Typhi	1	1	37	1	On	Off
Salmonella_typhimurium_TR7095	0	0	0	0	na	na
Schistosoma_mansoni	2	2	2	2	On	Off
Shigella_boydii	0	0	0	0	na	na
Shigella_dysenteriae	0	0	0	0	na	na
Shigella_flexneri	0	0	0	0	na	na
Shigella_sonnei	0	0	0	0	na	na
Staphylococcus_aureus	3	0	3	0	On	Off
Streptococcus	563	187	3457	187	On	Off
Streptococcus_acidominimus	58	6	58	6	On	Off
Streptococcus_agalactiae	34	18	94	18	On	Off
Streptococcus_anginosus	123	14	125	14	On	Off
Streptococcus_anginosus_C238	4	4	4	4	On	Off
Streptococcus_anginosus_group	1	1	4	1	On	Off
Streptococcus_cristatus_AS_1.3089	9	3	9	3	On	Off
Streptococcus_dysgalactiae_subsp._equisimilis_167	1	1	1	1	On	Off
Streptococcus_dysgalactiae_subsp._equisimilis_RE378	2	0	2	0	On	Off
Streptococcus_equi_subsp._equi	5	5	10	5	On	Off
Streptococcus_equinus	16	10	16	10	On	Off
Streptococcus_gordonii	14	14	40	14	On	Off
Streptococcus_gordonii_str._Challis_substr._CH1	1	1	1	1	On	Off
Streptococcus_intermedius_B196	2	0	2	0	On	Off
Streptococcus_intermedius_C270	1	1	1	1	On	Off
Streptococcus_mitis	22	18	25	18	On	Off
Streptococcus_mitis_B6	15	13	15	13	On	Off
Streptococcus_mutans	1	1	6	1	On	Off
Streptococcus_oralis	15	15	22	15	On	Off
Streptococcus_oralis_Uo5	4	4	4	4	On	Off
Streptococcus_oralis_subsp._tigurinus	1	1	1	1	On	Off
Streptococcus_pantholopis	2	0	2	0	On	Off
Streptococcus_parasanguinis	32	20	64	20	On	Off
Streptococcus_parasanguinis_ATCC_15912	38	34	38	34	On	Off
Streptococcus_parasanguinis_FW213	49	37	49	37	On	Off
Streptococcus_parauberis_NCFD_2020	1	1	1	1	On	Off
Streptococcus_pasteurianus_ATCC_43144	128	4	128	4	On	Off
Streptococcus_pneumoniae	20	10	528	10	On	Off
Streptococcus_pseudopneumoniae_IS7493	4	2	4	2	On	Off
Streptococcus_pyogenes	5	3	11	3	On	Off
Streptococcus_pyogenes_MGAS2096	72	15	73	15	On	Off
Streptococcus_salivarius	48	34	159	34	On	Off
Streptococcus_salivarius_57.I	6	2	6	2	On	Off
Streptococcus_salivarius_CCHSS3	4	4	4	4	On	Off
Streptococcus_salivarius_JIM8777	1	1	1	1	On	Off
Streptococcus_sanguinis_SK36	12	5	12	5	On	Off
Streptococcus_sp._A12	10	10	10	10	On	Off
Streptococcus_sp._FDAARGOS_192	5	5	5	5	On	Off
Streptococcus_sp._HSISM1	77	63	77	63	On	Off
Streptococcus_sp._HSISS1	2	2	2	2	On	Off
Streptococcus_sp._HSISS2	1	1	1	1	On	Off
Streptococcus_sp._HSISS3	3	1	3	1	On	Off
Streptococcus_sp._I-G2	4	2	4	2	On	Off
Streptococcus_sp._I-P16	4	4	4	4	On	Off
Streptococcus_sp._NPS_308	2	2	2	2	On	Off
Streptococcus_sp._VT_162	1	1	1	1	On	Off
Streptococcus_sp._oral_taxon_431	5	5	5	5	On	Off
Streptococcus_suis	83	13	741	13	On	Off
Streptococcus_suis_GZ1	111	32	111	32	On	Off
Streptococcus_thermophilus	23	19	417	19	On	Off
Streptococcus_thermophilus_MTH17CL396	1	1	1	1	On	Off
Taenia_solium	2	0	2	0	On	Off
Tannerella_forsythia	11	3	40	3	On	Off
Tannerella_forsythia_3313	1	1	1	1	On	Off
Tannerella_forsythia_92A2	1686	30	2954	30	On	Off
Toxoplasma_gondii	0	0	0	0	na	na
Toxoplasma_gondii_ME49	26	19	83	19	On	Off
Treponema	5	3	19	3	On	Off
Treponema_denticola	1	1	2	1	On	Off
Treponema_denticola_ATCC_35404	154	0	154	0	On	Off
Treponema_denticola_ATCC_35405	0	0	0	0	na	na
Treponema_pallidum	0	0	0	0	na	na
Treponema_pallidum_subsp._pallidum	0	0	0	0	na	na
Treponema_pallidum_subsp._pertenue	0	0	0	0	na	na
Treponema_putidum	3	1	3	1	On	Off
Treponema_sp._OMZ_838	3	1	3	1	On	Off
Treponema_succinifaciens_DSM_2489	16	5	16	5	On	Off
Trichinella_spiralis	0	0	0	0	na	na
Trypanosoma_brucei	0	0	0	0	na	na
Trypanosoma_cruzi	0	0	0	0	na	na
Variola_major_virus	0	0	0	0	na	na
Variola_minor_virus	0	0	0	0	na	na
Veillonella_parvula	670	503	1530	503	On	Off
Veillonella_parvula_HSIVP1	169	138	169	138	On	Off
Vibrio_cholerae	0	0	0	0	na	na
Vibrio_parahaemolyticus	0	0	0	0	na	na
Vibrio_vulnificus	0	0	0	0	na	na
Yersinia_enterocolitica	0	0	0	0	na	na
Yersinia_pestis	0	0	0	0	na	na
Yersinia_pseudotuberculosis	0	0	0	0	na	na
Yersinia_pseudotuberculosis_complex	2	0	86	0	On	Off
