Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Human_adenovirus_7h	0	0	0	0	na	na
Human_adenovirus_7l	0	0	0	0	na	na
Human_adenovirus_7m	0	0	0	0	na	na
Human_adenovirus_7p	0	0	0	0	na	na
Human_adenovirus_8E	0	0	0	0	na	na
Human_adenovirus_9042	0	0	0	0	na	na
Human_adenovirus_9052	0	0	0	0	na	na
Human_adenovirus_9431	0	0	0	0	na	na
Human_adenovirus_A02-2B-2	0	0	0	0	na	na
Human_adenovirus_A03-2B-1	0	0	0	0	na	na
Human_adenovirus_ATCC_VR-1501	0	0	0	0	na	na
Human_adenovirus_ATCC_VR-1502	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin003/02/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin004/02/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin131/01/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin524/01/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin604/01/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin619/01/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin643/01/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin682/01/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin718/01/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin749/01/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin769/01/DE	0	0	0	0	na	na
Human_adenovirus_AdV/Berlin859/01/DE	0	0	0	0	na	na
Human_adenovirus_B1	0	0	0	0	na	na
Human_adenovirus_B2	0	0	0	0	na	na
Human_adenovirus_B3	0	0	0	0	na	na
Human_adenovirus_Chiba_E086/2012	0	0	0	0	na	na
Human_adenovirus_D10	0	0	0	0	na	na
Human_adenovirus_D13	0	0	0	0	na	na
Human_adenovirus_D15H9	0	0	0	0	na	na
Human_adenovirus_D17H29	0	0	0	0	na	na
Human_adenovirus_D19H30	0	0	0	0	na	na
Human_adenovirus_D30H44	0	0	0	0	na	na
Human_adenovirus_D37	0	0	0	0	na	na
Human_adenovirus_D37H13	0	0	0	0	na	na
Human_adenovirus_D37H17	0	0	0	0	na	na
Human_adenovirus_D46H13	0	0	0	0	na	na
Human_adenovirus_D8	0	0	0	0	na	na
Human_adenovirus_D9	0	0	0	0	na	na
Human_adenovirus_E4	0	0	0	0	na	na
Human_adenovirus_H02-2B-2	0	0	0	0	na	na
Human_adenovirus_H02-2B-3	0	0	0	0	na	na
Human_adenovirus_H03-2B-1	0	0	0	0	na	na
Human_adenovirus_H08-2B-2	0	0	0	0	na	na
Human_adenovirus_I02-2B-2	0	0	0	0	na	na
Human_adenovirus_I05-2B-2	0	0	0	0	na	na
Human_adenovirus_LZY153B	0	0	0	0	na	na
Human_adenovirus_MKJ/Chennai/2010	0	0	0	0	na	na
Human_adenovirus_RKI-2797/04	0	0	0	0	na	na
Human_adenovirus_S02-2B-1	0	0	0	0	na	na
Human_adenovirus_S03-2B-1	0	0	0	0	na	na
Human_adenovirus_S03-2B-2	0	0	0	0	na	na
Human_adenovirus_S03-2B-3	0	0	0	0	na	na
Human_adenovirus_S05-2B-2	0	0	0	0	na	na
Human_adenovirus_S06-2B-3	0	0	0	0	na	na
Human_adenovirus_S07-2B-2	0	0	0	0	na	na
Human_adenovirus_S08-2B-3	0	0	0	0	na	na
Human_adenovirus_S10-1-6	0	0	0	0	na	na
Human_adenovirus_isolate_MY7/1	0	0	0	0	na	na
Human_adenovirus_isolate_MY8/1	0	0	0	0	na	na
Human_adenovirus_isolate_SGH2289	0	0	0	0	na	na
Human_adenovirus_isolate_SGH5253	0	0	0	0	na	na
Human_adenovirus_type_35p	0	0	0	0	na	na
Human_hepatitis_A_virus	0	0	0	0	na	na
JC_polyomavirus	0	0	0	0	na	na
JC_virus_x_BK_virus	0	0	0	0	na	na
Klebsiella_oxytoca	1	0	0	0	On	Off
Klebsiella_pneumoniae	17	0	0	0	On	Off
Klebsiella_pneumoniae_RYC492	9	0	0	0	On	Off
Klebsiella_pneumoniae_subsp._pneumoniae	1	0	0	0	On	Off
Klebsiella_pneumoniae_subsp._pneumoniae_1158	2	0	0	0	On	Off
Klebsiella_pneumoniae_subsp._rhinoscleromatis	0	0	0	0	na	na
Legionella_pneumophila	0	0	0	0	na	na
Leptospira_alexanderi	0	0	0	0	na	na
Leptospira_alstonii	0	0	0	0	na	na
Leptospira_borgpetersenii	0	0	0	0	na	na
Leptospira_broomii	0	0	0	0	na	na
Leptospira_fainei	0	0	0	0	na	na
Leptospira_inadai	0	0	0	0	na	na
Leptospira_interrogans	0	0	0	0	na	na
Leptospira_kirschneri	0	0	0	0	na	na
Leptospira_kmetyi	0	0	0	0	na	na
Leptospira_licerasiae	0	0	0	0	na	na
Leptospira_noguchii	0	0	0	0	na	na
Leptospira_santarosai	0	0	0	0	na	na
Leptospira_weilii	0	0	0	0	na	na
Leptospira_wolffii	0	0	0	0	na	na
Methanobrevibacter_oralis	0	0	0	0	na	na
Moraxella_catarrhalis	0	0	0	0	na	na
Mycobacterium_avium	1	0	0	0	On	Off
Mycobacterium_canettii	0	0	0	0	na	na
Mycobacterium_colombiense	0	0	0	0	na	na
Mycobacterium_intracellulare	0	0	0	0	na	na
Mycobacterium_kansasii	0	0	0	0	na	na
Mycobacterium_leprae	0	0	0	0	na	na
Mycobacterium_tuberculosis_complex	0	0	0	0	na	na
Mycoplasma_pneumoniae	4	0	0	0	On	Off
Neisseria	4	0	0	0	On	Off
Neisseria_elongata_subsp._glycolytica_ATCC_29315	1	0	0	0	On	Off
Neisseria_gonorrhoeae	4	0	0	0	On	Off
Neisseria_lactamica	3	0	0	0	On	Off
Neisseria_meningitidis	8	1	10	1	On	Off
Neisseria_meningitidis_M0579	1	0	0	0	On	Off
Parvimonas_micra	2	0	0	0	On	Off
Peptostreptococcus_anaerobius	0	0	0	0	na	na
Plasmodium_falciparum	0	0	0	0	na	na
Plasmodium_vivax	0	0	0	0	na	na
Plasmodium_vivax_Sal-1	7	0	0	0	On	Off
Pneumocystis_carinii	0	0	0	0	na	na
Pneumocystis_jirovecii	0	0	0	0	na	na
Porphyromonas_gingivalis	22	0	0	0	On	Off
Porphyromonas_gingivalis_A7A1-28	2	0	0	0	On	Off
Porphyromonas_gingivalis_JCVI_SC001	1	0	0	0	On	Off
Porphyromonas_gingivalis_W83	1	0	0	0	On	Off
Rickettsia_africae	0	0	0	0	na	na
Rickettsia_akari	0	0	0	0	na	na
Rickettsia_conorii	0	0	0	0	na	na
Rickettsia_felis	0	0	0	0	na	na
Rickettsia_japonica	0	0	0	0	na	na
Rickettsia_prowazekii	0	0	0	0	na	na
Rickettsia_rickettsii	0	0	0	0	na	na
Rickettsia_sibirica	0	0	0	0	na	na
Rickettsia_typhi	0	0	0	0	na	na
Salmonella_enterica_subsp._enterica	15	0	0	0	On	Off
Salmonella_enterica_subsp._enterica_serovar_Dublin	2	0	0	0	On	Off
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._77-1427	1	0	0	0	On	Off
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20120916	10	0	0	0	On	Off
Salmonella_enterica_subsp._enterica_serovar_Saintpaul	1	0	0	0	On	Off
Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund_str._CVM19633	8	0	0	0	On	Off
Salmonella_enterica_subsp._enterica_serovar_Typhi	30	0	0	0	On	Off
Salmonella_enterica_subsp._enterica_serovar_Typhimurium	2	0	0	0	On	Off
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._U288	1	0	0	0	On	Off
Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._USDA-ARS-USMARC-1898	1	0	0	0	On	Off
Salmonella_typhimurium_TR7095	0	0	0	0	na	na
Schistosoma_mansoni	1	0	0	0	On	Off
Shigella_boydii	0	0	0	0	na	na
Shigella_boydii_CDC_3083-94	5	0	0	0	On	Off
Shigella_dysenteriae	0	0	0	0	na	na
Shigella_dysenteriae_Sd197	1	0	0	0	On	Off
Shigella_flexneri	10	0	0	0	On	Off
Shigella_flexneri_1a	1	0	0	0	On	Off
Shigella_flexneri_2002017	4	0	0	0	On	Off
Shigella_flexneri_G1663	1	0	0	0	On	Off
Shigella_sonnei	7	1	10	1	On	Off
Staphylococcus_aureus	0	0	0	0	na	na
Streptococcus	348	5	13	5	On	Off
Streptococcus_acidominimus	2	0	0	0	On	Off
Streptococcus_agalactiae	57	2	4	2	On	Off
Streptococcus_anginosus	486	1	1	1	On	Off
Streptococcus_constellatus_subsp._pharyngis	1	0	0	0	On	Off
Streptococcus_cristatus_AS_1.3089	5	0	0	0	On	Off
Streptococcus_dysgalactiae_subsp._equisimilis_RE378	1	0	0	0	On	Off
Streptococcus_gordonii	4	0	0	0	On	Off
Streptococcus_gordonii_str._Challis_substr._CH1	1	0	0	0	On	Off
Streptococcus_infantarius	1	0	0	0	On	Off
Streptococcus_mitis	5	0	0	0	On	Off
Streptococcus_mitis_B6	4	0	0	0	On	Off
Streptococcus_mutans	2	0	0	0	On	Off
Streptococcus_oralis	5	0	0	0	On	Off
Streptococcus_oralis_Uo5	2	0	0	0	On	Off
Streptococcus_oralis_subsp._tigurinus	3	0	0	0	On	Off
Streptococcus_pantholopis	2	0	0	0	On	Off
Streptococcus_parasanguinis	1	0	0	0	On	Off
Streptococcus_parasanguinis_ATCC_15912	7	0	0	0	On	Off
Streptococcus_parasanguinis_FW213	4	0	0	0	On	Off
Streptococcus_pasteurianus_ATCC_43144	15	1	1	1	On	Off
Streptococcus_pneumoniae	2	1	10	1	On	Off
Streptococcus_pseudopneumoniae_IS7493	2	0	0	0	On	Off
Streptococcus_pyogenes	3	0	0	0	On	Off
Streptococcus_pyogenes_MGAS10394	1	0	0	0	On	Off
Streptococcus_pyogenes_MGAS2096	12	0	0	0	On	Off
Streptococcus_salivarius	26	0	0	0	On	Off
Streptococcus_salivarius_CCHSS3	1	1	1	1	On	Off
Streptococcus_salivarius_JIM8777	1	0	0	0	On	Off
Streptococcus_sp._A12	7	0	0	0	On	Off
Streptococcus_sp._HSISM1	4	0	0	0	On	Off
Streptococcus_sp._HSISS3	1	0	0	0	On	Off
Streptococcus_sp._I-P16	5	0	0	0	On	Off
Streptococcus_sp._NPS_308	2	0	0	0	On	Off
Streptococcus_sp._VT_162	2	0	0	0	On	Off
Streptococcus_sp._oral_taxon_431	4	0	0	0	On	Off
Streptococcus_suis	114	1	10	1	On	Off
Streptococcus_suis_GZ1	105	3	3	3	On	Off
Streptococcus_thermophilus	2692	2	20	2	On	Off
Streptococcus_thermophilus_CNRZ1066	3	0	0	0	On	Off
Streptococcus_thermophilus_JIM_8232	2	0	0	0	On	Off
Streptococcus_thermophilus_LMG_18311	13	0	0	0	On	Off
Streptococcus_thermophilus_TH1435	2	0	0	0	On	Off
Streptococcus_thermophilus_TH1477	2	0	0	0	On	Off
Streptococcus_thermophilus_TH985	1	0	0	0	On	Off
Taenia_solium	2	0	0	0	On	Off
Tannerella_forsythia	17	0	1	0	On	Off
Tannerella_forsythia_92A2	1121	22	96	22	On	Off
Toxoplasma_gondii	0	0	0	0	na	na
Toxoplasma_gondii_ME49	908	9	65	9	On	Off
Treponema	3	0	0	0	On	Off
Treponema_denticola	0	0	0	0	na	na
Treponema_denticola_ATCC_35404	266	0	2	0	On	Off
Treponema_denticola_ATCC_35405	0	0	0	0	na	na
Treponema_pallidum	0	0	0	0	na	na
Treponema_pallidum_subsp._pallidum	0	0	0	0	na	na
Treponema_pallidum_subsp._pertenue	0	0	0	0	na	na
Treponema_putidum	4	0	0	0	On	Off
Treponema_sp._OMZ_838	4	0	0	0	On	Off
Treponema_succinifaciens_DSM_2489	131	0	0	0	On	Off
Trichinella_spiralis	1	0	0	0	On	Off
Trypanosoma_brucei	0	0	0	0	na	na
Trypanosoma_cruzi	0	0	0	0	na	na
Trypanosoma_cruzi_strain_CL_Brener	5	0	0	0	On	Off
Variola_major_virus	0	0	0	0	na	na
Variola_minor_virus	0	0	0	0	na	na
Veillonella_parvula	39	0	0	0	On	Off
Veillonella_parvula_HSIVP1	4	0	0	0	On	Off
Vibrio_cholerae	0	0	0	0	na	na
Vibrio_parahaemolyticus	0	0	0	0	na	na
Vibrio_vulnificus	0	0	0	0	na	na
Yersinia_enterocolitica	0	0	0	0	na	na
Yersinia_pestis	1	0	0	0	On	Off
Yersinia_pseudotuberculosis	0	0	0	0	na	na
Yersinia_pseudotuberculosis_complex	0	0	0	0	na	na
