Node_Name	Adipose_Tissue_Control.merged.rma6	AT_Mock_1_1000000.merged.rma6	AT_Mock_1_100000.merged.rma6	AT_Mock_1_10000.merged.rma6	AT_Mock_1_1000.merged.rma6	AT_Mock_1_100.merged.rma6	AT_Mock_1_50_1.merged.rma6	AT_Mock_1_50_2.merged.rma6	AT_Mock_1_50_3.merged.rma6	AT_Mock_1_50_4.merged.rma6	AT_Mock_1_50.merged.rma6	Hepatology_High_1.merged.rma6	Hepatology_High_2.merged.rma6	Hepatology_Low_1.merged.rma6	Hepatology_Low_2.merged.rma6	patient_1_AT.merged.rma6	patient_1_blood.merged.rma6	patient_1_stool.merged.rma6	patient_2_AT.merged.rma6	patient_2_blood.merged.rma6	patient_2_stool.merged.rma6
Acetobacter_syzygii	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacteraceae	0	0	2	0	1	24	3	0	3	3	5	0	0	1	0	0	0	0	0	1	3
Acetobacteraceae_bacterium_M3_10_1TCO2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Acetobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2
Acetobacterium_sp._HAWD4	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
Acetobacterium_sp._enrichment_culture_clone_06-1235251-70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13
Acetobacterium_sp._enrichment_culture_clone_AP-FeEnrich9	0	0	0	1	6	12	4	0	13	5	5	0	4	0	0	0	0	0	0	0	2
Acetobacterium_submarinus	0	0	0	3	4	1	2	0	2	0	7	0	0	0	0	0	0	0	0	0	1
Acetohalobium_arabaticum_DSM_5501	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetonema	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1
Acetonema_longum_DSM_6540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Acetonema_sp._DSM_11382	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	2
Achaeta_camerani	1	0	0	0	0	1	6	0	0	0	0	2	1	0	1	0	0	0	0	0	0
Acheta_domesticus	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Acholeplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11
Acholeplasma_equifetale	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Acholeplasma_hippikon	0	0	0	0	0	0	1	0	0	5	4	0	0	0	0	0	0	4	0	0	0
Acholeplasma_modicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Acholeplasma_oculi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8
Achromatium	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromatium_oxaliferum	0	0	0	0	1	1	0	0	3	1	2	0	0	0	0	0	0	0	0	0	2
Achromatium_sp._JD1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromatium_sp._JD8	0	0	0	0	0	2	0	0	1	3	1	0	0	0	0	0	0	0	0	0	2
Achromobacter	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0
Achromobacter_arsenitoxydans	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2
Achromobacter_sp._58-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Achromobacter_sp._A25	0	0	0	2	4	5	1	0	2	2	5	2	0	3	0	0	0	0	0	1	0
Achromobacter_sp._AB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Achromobacter_sp._AM-H14	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Achromobacter_sp._BifD-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Achromobacter_sp._DR408	0	0	0	0	0	2	1	0	5	2	8	0	0	0	0	0	0	0	0	0	0
Achromobacter_sp._HT18	0	0	0	1	1	4	3	0	4	4	3	0	0	0	0	0	0	0	0	0	0
Achromobacter_sp._I_45-J6PA12A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Achromobacter_sp._MJAU_D0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Achromobacter_sp._PYD-5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	5
Achromobacter_sp._TA12-A	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter_spanius	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Achromobacter_xylosoxidans	0	0	0	0	0	15	1	0	5	2	2	0	0	0	0	0	0	10	0	0	15
Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acidaminococcus_fermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Acidaminococcus_fermentans_DSM_20731	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	40
Acidaminococcus_intestini	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	24
Acidaminococcus_intestini_RyC-MR95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364
Acidaminococcus_sp._DJF_RP55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	9
Acidibacillus_ferrooxidans	0	0	0	1	7	13	6	0	20	16	17	0	0	0	0	0	0	0	0	0	3
Acidibacter	0	0	0	0	0	0	1	0	3	1	3	1	0	0	0	0	0	0	0	0	1
Acidimicrobium_ferrooxidans_DSM_10331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Acidiphilium	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Acidiphilium_sp._Ac-5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Acidipropionibacterium	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acidipropionibacterium_jensenii	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Acidithiobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Acidithiobacillus_caldus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Acidithiobacillus_ferrooxidans	0	0	0	0	4	5	0	0	5	8	4	0	0	0	0	0	0	26	0	0	35
Acidithiobacillus_sp._CASQ22	0	0	0	0	1	2	2	0	3	1	4	0	0	0	0	0	0	0	0	0	0
Acidithiobacillus_thiooxidans	0	0	0	0	0	4	3	0	3	3	5	0	0	1	0	0	0	3	0	0	13
Acidobacteria	0	0	0	1	2	5	1	0	2	4	8	0	1	0	0	0	0	4	0	0	61
Acidobacteria_bacterium_AL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Acidobacteriia	0	0	0	1	0	2	1	0	2	5	33	0	0	0	0	0	0	3	0	0	12
Acidovorax_anthurii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Acidovorax_citrulli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Acidovorax_delafieldii	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
Acidovorax_facilis	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax_konjaci	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acidovorax_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
Acidovorax_sp._7078	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Acidovorax_sp._IMI_357678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Acidovorax_sp._TM17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Acinetobacter	0	1	1	14	425	1497	635	0	908	1248	1274	0	0	0	1	0	34	5	857	3	3
Acinetobacter_baumannii	0	0	0	473	143	421	214	0	356	306	421	0	1	0	0	0	0	4	0	0	0
Acinetobacter_baumannii_1000160	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_1237893	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_1457504	0	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_146457	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_1482820	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_1488685	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_15827	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_24860_3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_25878_2	0	0	0	0	0	0	1	0	0	3	4	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB4857	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB5075	0	0	0	0	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_AB5711	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_BIDMC_57	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_BJAB07104	0	0	0	0	5	0	0	0	27	0	5	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_BJAB0868	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_D1279779	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_IS-123	0	0	0	2	0	4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_Naval-17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baumannii_SDF	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_baylyi	0	0	0	0	2	10	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0
Acinetobacter_bouvetii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_calcoaceticus	0	0	0	3	4	32	7	0	13	10	11	0	0	0	0	0	0	1	2	1	3
Acinetobacter_calcoaceticus/baumannii_complex	0	0	0	179	269	235	187	0	119	43	258	0	0	0	0	0	0	0	0	1	1
Acinetobacter_genomosp._13	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_gerneri_DSM_14967_=_CIP_107464	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_gerneri_MTCC_9824	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_guillouiae	0	0	0	1	3	5	1	0	6	4	3	0	0	0	0	0	0	2	0	0	0
Acinetobacter_haemolyticus	0	0	0	1	3	4	3	0	4	3	4	0	0	0	0	0	0	0	0	0	1
Acinetobacter_indicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Acinetobacter_johnsonii	0	0	1	2	6	20	24	0	14	13	24	1	0	2	0	0	0	2	1	0	2
Acinetobacter_junii	0	0	0	4	2	17	9	0	14	16	15	0	0	0	0	0	0	0	0	0	0
Acinetobacter_kookii	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_lwoffii	0	0	0	0	4	8	1	0	4	3	5	0	0	0	0	0	0	0	0	0	0
Acinetobacter_lwoffii_WJ10621	0	0	0	0	0	5	0	0	4	3	2	1	0	6	0	0	0	1	0	0	0
Acinetobacter_oleivorans	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acinetobacter_oryzae	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2
Acinetobacter_parvus	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	8
Acinetobacter_parvus_NIPH_1103	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_pittii	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_pittii_PHEA-2	0	0	0	1	0	4	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0
Acinetobacter_qingfengensis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_radioresistens	0	0	0	0	1	13	2	0	7	3	4	0	0	0	0	0	0	0	0	0	0
Acinetobacter_radioresistens_WC-A-157	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_rhizosphaerae	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Acinetobacter_schindleri	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
Acinetobacter_seifertii	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_soli	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp.	0	0	0	4	1	3	2	0	2	5	4	0	0	0	0	0	0	0	0	14	0
Acinetobacter_sp._'2-04LB_Cl-5'	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._'aerobic_(ED)'	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._10NS6	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._117	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._11NS4	0	0	0	2	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._14N1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._17N2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._230853	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._26	0	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._2P07PC	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._4077	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._4081	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._4087	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._4_JDE-2009	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._51	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._80K	0	0	0	0	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._A013	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._AHM1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._AK-P1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._ALBL_107	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._ANC_3789	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._Artichoke_A3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._B0758	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._BCaL1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._BG21	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._BP8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._BS-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acinetobacter_sp._C-J-NA6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Acinetobacter_sp._C-J-TSA1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._CIP_102637	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._CW13	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._Cap_K5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._Chr-17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._D36	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._DC2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._DS3.6.hex.5	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._DSVP8	0	0	0	0	1	1	2	0	4	4	4	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._EASC3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._EDP3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._EH24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._EM034	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._ERMR1:08	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._F601	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._GH02	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._GIST-MLI60	0	0	0	0	2	0	1	0	1	3	0	0	0	1	0	0	1	0	0	5	0
Acinetobacter_sp._GIST-Out1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._GIST-OutAn1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._H10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acinetobacter_sp._HIRFA32	0	0	0	2	0	0	1	0	0	4	2	0	0	0	0	0	0	0	0	10	1
Acinetobacter_sp._HIRFA34	0	0	0	0	0	1	3	0	2	0	4	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._HM_AF14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._Hg4-11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._IARI-RP18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._ICB374	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._IR-851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Acinetobacter_sp._ISO6	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._I_58-G7P2A3B	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._IrC2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._JDC-17	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._JH250-12	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._JL22	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_sp._KB75	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
