Node_Name	Adipose_Tissue_Control.rma6	AT+Mock-1:1000000.rma6	AT+Mock-1:100000.rma6	AT+Mock-1:10000.rma6	AT+Mock-1:1000.rma6	AT+Mock-1:100.rma6	AT+Mock-1:50-1.rma6	AT+Mock-1:50-2.rma6	AT+Mock-1:50-3.rma6	AT+Mock-1:50-4.rma6	AT+Mock-1:50.rma6	Hepatology-High-1.rma6	Hepatology-High-2.rma6	Hepatology-Low-1.rma6	Hepatology-Low-2.rma6	patient-1-AT.rma6	patient-1-blood.rma6	patient-1-stool.rma6	patient-2-AT.rma6	patient-2-blood.rma6	patient-2-stool.rma6
Actinobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Actinobacteria	1	0	2	1	1	0	0	0	0	3	5	2	0	1	1	0	0	9	0	1	33
Actinobacteria_<phylum>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	63
Actinobacteria_bacterium_IMCC26077	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	15
Actinomyces_meyeri	0	0	0	0	0	1	2	0	0	2	1	0	1	0	0	0	0	10	0	0	7
Actinomyces_naeslundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Actinomyces_oris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Actinomyces_pacaensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	26
Actinomyces_sp._oral_taxon_414	1	3	1	0	2	3	1	0	0	0	1	0	1	0	0	1	0	7	0	0	7
Actinoplanes_missouriensis_431	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Actinoplanes_sp._SE50/110	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Adlercreutzia_equolifaciens_DSM_19450	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	904	0	0	549
Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Aerococcus_urinae_ACS-120-V-Col10a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Aerococcus_urinaehominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Aeromicrobium_erythreum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
Aeromonas_salmonicida_subsp._salmonicida_A449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	7
Aeromonas_schubertii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Aeromonas_veronii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Aggregatibacter_actinomycetemcomitans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Aggregatibacter_actinomycetemcomitans_D11S-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Aggregatibacter_aphrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5
Aggregatibacter_aphrophilus_NJ8700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2
Agrobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Agrobacterium_rhizogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Akkermansia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
Akkermansia_glycaniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Akkermansia_muciniphila	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11	0	0	37148
Akkermansia_muciniphila_ATCC_BAA-835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	8202
Alcaligenaceae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	11
Alcaligenes_faecalis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Algoriphagus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Alistipes_finegoldii_DSM_17242	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	11759	0	0	19368
Alkaliphilus_metalliredigens_QYMF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Alkaliphilus_oremlandii_OhILAs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Alkalitalea_saponilacus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Alphaproteobacteria	0	0	0	0	0	2	2	1	5	7	3	0	1	0	0	0	0	3	0	0	4
Altererythrobacter_dongtanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Aminomonas_paucivorans_DSM_12260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Amphibacillus_xylanus_NBRC_15112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0
Amycolatopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Amycolatopsis_mediterranei	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Anaerococcus_mediterraneensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5
Anaerococcus_prevotii_DSM_20548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Anaerolineaceae_bacterium_oral_taxon_439	1	1	1	1	2	1	0	0	0	2	1	0	1	0	0	0	0	1	0	1	0
Anaeromyxobacter_dehalogenans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Anaeromyxobacter_sp._Fw109-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Anaerostipes_hadrus	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6716	0	0	1792
Anaerotignum_propionicum_DSM_1682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	142
Aneurinibacillus_soli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Aneurinibacillus_sp._XH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Aotine_betaherpesvirus_1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Apicomplexa	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Arachidicoccus_sp._BS20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Arachis_pintoi_virus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Arenibacter_algicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Arsenicicoccus_sp._oral_taxon_190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Arthrobacter_sp._ERGS1:01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Arthrobacter_sp._QXT-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Ascomycota	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Aspergillus_fumigatus_Af293	7	5	2	2	6	3	2	0	1	7	3	1	5	5	2	5	4	0	0	4	0
Asticcacaulis_excentricus_CB_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Atopobium_parvulum_DSM_20469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
Auricoccus_indicus	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Azoarcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Azoarcus_sp._CIB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Azoarcus_sp._KH32C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacillaceae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	30
Bacillales	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	9	0	0	49
Bacilli	0	0	0	0	1	4	15	0	20	17	12	0	0	1	0	0	0	3958	0	0	88
Bacillus	0	0	0	0	1	9	12	0	10	15	18	0	0	0	0	0	0	0	0	0	6
Bacillus_anthracis	0	0	0	0	2	0	4	0	4	4	0	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus	0	0	1	3	30	229	567	0	449	737	541	0	0	0	0	0	0	1	0	0	0
Bacillus_cereus_AH676	1	2	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0
Bacillus_cereus_ATCC_10987	0	0	0	0	6	36	143	0	108	162	141	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_BDRD-ST24	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Bacillus_cereus_BDRD-ST26	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_F	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_FRI-35	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_Q1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_R309803	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0
Bacillus_cereus_group	0	0	0	1	10	88	276	0	199	303	252	0	0	0	0	1	0	6	0	0	9
Bacillus_cereus_m1293	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Bacillus_clausii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2
Bacillus_coagulans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	36
Bacillus_glycinifermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Bacillus_halodurans_C-125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacillus_krulwichiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Bacillus_licheniformis	4	2	0	1	2	2	0	0	1	0	1	1	2	1	1	2	0	0	0	2	0
Bacillus_phage_Stitch	0	1	0	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_subtilis_subsp._subtilis	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_subtilis_subsp._subtilis_str._NCIB_3610	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	20
Bacillus_thuringiensis_DAR_81934	2	0	1	1	1	1	0	0	1	1	3	1	1	1	0	0	0	0	0	1	0
Bacillus_thuringiensis_serovar_huazhongensis_BGSC_4BD1	48	54	34	44	30	39	33	0	34	54	35	13	6	27	7	26	6	0	0	0	0
Bacillus_thuringiensis_serovar_pondicheriensis_BGSC_4BA1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Bacteria	1	1	0	0	0	0	0	0	1	2	2	2	3	1	1	0	1	2034	0	3	2963
Bacteroidales	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	20940	0	1	19561
Bacteroidales_bacterium_CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	25
Bacteroides	0	0	0	1	1	0	3	3	2	2	5	0	0	0	1	0	4	61698	0	0	54723
Bacteroides_caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	987	0	0	514
Bacteroides_caecimuris	1	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	24701	0	1	16530
Bacteroides_cellulosilyticus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2522	0	0	3147
Bacteroides_coprosuis_DSM_18011	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1872	0	0	738
Bacteroides_dorei	2	1	2	0	5	2	1	5	6	10	11	3	1	2	3	5	26	751804	0	4	73455
Bacteroides_dorei_CL03T12C01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	31327	0	1	8284
Bacteroides_fragilis	0	0	0	0	0	0	0	5	1	0	0	1	0	0	0	1	1	17451	0	0	21191
Bacteroides_fragilis_638R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1233	0	0	2762
Bacteroides_fragilis_NCTC_9343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959	0	0	1157
Bacteroides_fragilis_YCH46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1745	0	0	781
Bacteroides_helcogenes_P_36-108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1808	0	0	1168
Bacteroides_ovatus	0	1	0	1	1	0	1	3	0	0	0	2	0	0	0	0	0	27516	0	0	94090
Bacteroides_ovatus_V975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	136
Bacteroides_phage_B124-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteroides_salanitronis_DSM_18170	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2436	0	0	3187
Bacteroides_thetaiotaomicron	1	1	1	1	0	1	0	5	0	0	0	0	1	1	0	1	5	83124	0	0	31866
Bacteroides_thetaiotaomicron_VPI-5482	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13001	0	1	11240
Bacteroides_vulgatus_ATCC_8482	0	0	2	0	3	8	19	14	12	31	30	0	1	0	1	2	3	50080	0	0	179031
Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2740	0	0	2129
Bacteroidetes/Chlorobi_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bacteroidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	29
Ball_python_nidovirus_1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Barnesiella_viscericola_DSM_18177	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4661	0	0	1893
Basilea_psittacipulmonis_DSM_24701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5
Bat_coronavirus_BM48-31/BGR/2008	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bat_sapelovirus	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0
BeAn_58058_virus	1	6	4	3	3	6	4	0	1	2	6	7	3	2	2	1	2	0	0	7	0
Bebaru_virus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beluga_whale_coronavirus_SW1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Betaproteobacteria	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	66	0	0	82
Betaproteobacteria_bacterium_GR16-43	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Beutenbergia_cavernae_DSM_12333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bibersteinia_trehalosi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	1
Bidens_mottle_virus	1	2	1	2	3	1	0	0	0	1	1	1	2	3	0	0	0	0	0	0	0
Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	216
Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	35
Bifidobacterium_adolescentis_ATCC_15703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bifidobacterium_angulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	19
Bifidobacterium_angulatum_DSM_20098_=_JCM_7096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2
Bifidobacterium_animalis_subsp._lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2
Bifidobacterium_animalis_subsp._lactis_AD011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bifidobacterium_animalis_subsp._lactis_ATCC_27673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5
Bifidobacterium_bifidum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4
Bifidobacterium_bifidum_PRL2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	17
Bifidobacterium_bifidum_S17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bifidobacterium_breve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	30
Bifidobacterium_breve_12L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bifidobacterium_breve_689b	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	421	0	0	11
Bifidobacterium_breve_ACS-071-V-Sch8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	2
Bifidobacterium_breve_JCM_7017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
Bifidobacterium_breve_JCM_7019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	29
Bifidobacterium_breve_UCC2003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Bifidobacterium_catenulatum_DSM_16992_=_JCM_1194_=_LMG_11043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	19
Bifidobacterium_dentium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0
Bifidobacterium_kashiwanohense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3
Bifidobacterium_kashiwanohense_JCM_15439_=_DSM_21854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	1	15
Bifidobacterium_kashiwanohense_PV20-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	9
Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	482	0	0	2578
Bifidobacterium_longum_DJO10A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Bifidobacterium_longum_E18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Bifidobacterium_longum_NCC2705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5
Bifidobacterium_longum_subsp._infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	27
Bifidobacterium_longum_subsp._infantis_157F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
Bifidobacterium_longum_subsp._infantis_ATCC_15697_=_JCM_1222_=_DSM_20088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
Bifidobacterium_longum_subsp._longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
Bifidobacterium_longum_subsp._longum_BBMN68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Bifidobacterium_longum_subsp._longum_GT15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
Bifidobacterium_longum_subsp._longum_JCM_1217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
Bifidobacterium_longum_subsp._longum_KACC_91563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Bifidobacterium_pseudocatenulatum_DSM_20438_=_JCM_1200_=_LMG_10505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	36
Bifidobacterium_pseudolongum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bifidobacterium_scardovii_JCM_12489_=_DSM_13734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bifidobacterium_thermophilum_RBL67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Bilateria	1414	1672	1207	1445	1342	1258	1436	2	1082	1828	1387	2225	2107	2839	1413	2194	1607	0	0	3451	18
Blastomyces_dermatitidis_ER-3	20	26	19	27	30	23	26	0	13	20	20	13	24	14	13	11	4	0	0	21	2
Blautia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	29
Blautia_hansenii_DSM_20583	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3088	0	0	3190
Blautia_sp._YL58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	180
Bordetella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1
Bordetella_avium_197N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Bordetella_genomosp._13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bordetella_holmesii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bordetella_pertussis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bordetella_petrii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9
Borrelia_duttonii_Ly	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Borreliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Bosea_vaviloviae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bovine_rhinitis_B_virus	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0
Bovine_rhinovirus_1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachybacterium_ginsengisoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Brachybacterium_sp._P6-10-X1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Brachyspira	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Brachyspira_pilosicoli_B2904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Bradyrhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bradyrhizobium_diazoefficiens	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Bradyrhizobium_japonicum	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	1	0
Bradyrhizobium_oligotrophicum_S58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bradyrhizobium_sp._CCGE-LA001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Brevibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Brevibacillus_laterosporus_LMG_15441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Brevibacterium_linens	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Brevundimonas_sp._DS20	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Broad_bean_mottle_virus	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0
