Node	AT_Mock_1_10000.merged.fastq.gz.noHG19.rma6	AT_Mock_1_100.merged.fastq.gz.noHG19.rma6	Hepatology_High_2.merged.fastq.gz.noHG19.rma6	Hepatology_Low_2.merged.fastq.gz.noHG19.rma6	Hepatology_Low_1.merged.fastq.gz.noHG19.rma6	patient_1_AT.merged.fastq.gz.noHG19.rma6	AT_Mock_1_50_3.merged.fastq.gz.noHG19.rma6	AT_Mock_1_50_4.merged.fastq.gz.noHG19.rma6	AT_Mock_1_1000000.merged.fastq.gz.noHG19.rma6	Adipose_Tissue_Control.merged.fastq.gz.noHG19.rma6	patient_1_stool.merged.fastq.gz.noHG19.rma6	Hepatology_High_1.merged.fastq.gz.noHG19.rma6	patient_2_AT.merged.fastq.gz.noHG19.rma6	AT_Mock_1_50.merged.fastq.gz.noHG19.rma6	patient_1_blood.merged.fastq.gz.noHG19.rma6	patient_2_stool.merged.fastq.gz.noHG19.rma6	AT_Mock_1_100000.merged.fastq.gz.noHG19.rma6	AT_Mock_1_50_2.merged.fastq.gz.noHG19.rma6	AT_Mock_1_50_1.merged.fastq.gz.noHG19.rma6	AT_Mock_1_1000.merged.fastq.gz.noHG19.rma6	patient_2_blood.merged.fastq.gz.noHG19.rma6
Blastomyces_dermatitidis_ER-3								Klebsiella_pneumoniae	1107	Klebsiella_pneumoniae	5	Klebsiella_pneumoniae	3668			Streptococcus_rifensis	10	Helicobacter_pylori	1	Streptococcus_sp._S16-08	9
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20090332								Streptococcus_infantis	1	Blastomyces_dermatitidis_ER-3	805	Taenia_solium	5			Blastomyces_dermatitidis_ER-3	782	Streptococcus_mutans	86	Clostridium_perfringens_B_str._ATCC_3626	3
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20110222								Bacillus_anthracis_str._CDC_684	2	Neisseria_sp._Z_S_TSA_2	1	Blastomyces_dermatitidis_ER-3	496			Bacillus_cereus_VD115	1	Streptococcus_thermophilus	2	Escherichia_coli_UMEA_3033-1	2
Streptococcus_phocae_subsp._salmonis								Staphylococcus_aureus_RF122	1	Streptococcus_mutans	15	Borreliaceae	1			Escherichia_coli_UMEA_3355-1	1	Salmonella_enterica_subsp._enterica_serovar_Manhattan	1	Escherichia_coli_KTE136	5
Streptococcus_sp._DP42								Blastomyces_dermatitidis_ER-3	986	Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20100134	5	Streptococcus_mutans	30			Escherichia_coli_KTE15	1	Salmonella_enterica_subsp._enterica	2	Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20090531	1
Escherichia_coli_DEC4E								Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20090332	2	Clostridium_sp._enrichment_culture_clone_DhR^2/LM-G01	1	uncultured_Treponema_sp.	3			Streptococcus_pneumoniae_GA19077	1	Streptococcus_agalactiae	6	Bacillus_mycoides_KBAB4	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20100134								Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20110222	1	Salmonella_enterica_subsp._enterica	1	Shigella_dysenteriae	1			Escherichia_coli_HVH_84_(4-1021478)	1	Bacillus_cereus	74	Streptococcus_anginosus_C238	6
Vibrio_parahaemolyticus_VPCR-2010								Escherichia_coli_O157:H7	2	Bacillus_cereus	19	Vibrio_cholerae_V51	2			Escherichia_coli_DEC10A	1			Clostridium_sp._enrichment_culture_clone_HT3	4
Clostridium_sp._T2								Streptococcus_phocae_subsp._salmonis	1	Shigella_dysenteriae_1617	1	Clostridium_sp._CE6	1			Escherichia_coli_DEC9D	5			Neisseria_tadorna	1
Streptococcus_sp._RR3								Neisseria	587	Streptococcus_sobrinus	1	Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20100134	14			Streptococcus_pneumoniae_SPN032672	1			Clostridium_uliginosum	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20121176								Shigella_flexneri	3			Streptococcus_hyointestinalis	1			Escherichia_coli_DEC10D	1			Streptococcus_agalactiae_18RS21	9
Clostridium_sp._TW14								Streptococcus_sp._DP42	1			Neisseria_polysaccharea	1			Escherichia_coli_HVH_79_(4-2512823)	1			Bacillus_sp._M70(2010)	2
								Streptococcus_macacae_NCTC_11558	1			Streptococcus_agalactiae	4			Escherichia_coli_DEC7B	3			Streptococcus_rifensis	3
								Streptococcus_mutans_NN2025	5			Bacillus_cereus	2439			Escherichia_coli_B7-2	2			Escherichia_coli_Envira_10/1	5
								Streptococcus_uberis	3			Salmonella_enterica_subsp._enterica_serovar_Typhimurium	1			Streptococcus_mutans_AC4446	1			Bacillus_cereus_W	3
								Streptococcus_dentasini	4			Bordetella_parapertussis_Bpp5	2			Escherichia_coli_DEC4E	1			Streptococcus_henryi	3
								Streptococcus_mutans	9296			Vibrio_parahaemolyticus	7			Salmonella_enterica_subsp._enterica_serovar_Manhattan	1			Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20092320	3
								Bacillus_anthracis	3							Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20100134	218			Blastomyces_dermatitidis_ER-3	341
								Streptococcus_thermophilus	3							Escherichia_coli_P0304777.1	3			Neisseria_sp._oral_clone_AP067	2
								Escherichia_coli_DEC4E	1							Clostridium_botulinum_Bf	1			Escherichia_coli_STEC_EH250	2
								Bacillus_thuringiensis_MC28	1							Clostridium_sp._E13	2			Streptococcus_agalactiae_GD201008-001	3
								Clostridium_botulinum	4							Staphylococcus_aureus_M1016	1			Streptococcus_sp._C3I3	1
								Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20100134	15							Escherichia_coli_93.0624	1			Clostridium_sp._NB7	2
								Bacillus_pseudomycoides	2							Escherichia_coli_TOP498	1			Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20090332	10
								Salmonella_enterica_subsp._enterica	3							Salmonella_enterica_subsp._enterica_serovar_Tennessee_str._TXSC_TXSC08-21	1			Escherichia_coli_3-373-03_S3_C3	4
								Clostridium_puniceum	2							Escherichia_coli_B95	1			Streptococcus_sp._C3I8	5
								Streptococcus_agalactiae	3							Clostridium_sp._TB10	1			Bacillus_cereus_VD115	3
								Streptococcus_iniae	1							Escherichia_coli_DSM_30083_=_JCM_1649_=_ATCC_11775	1			Escherichia_coli_TOP550-1	1
								Bacillus_cereus	2435							Escherichia_coli_EPEC_C342-62	1			Streptococcus_dentirousetti	1
								Vibrio_parahaemolyticus_VPCR-2010	1							Escherichia_coli_O104:H4_str._01-09591	2			Streptococcus_phocae_subsp._salmonis	1
								Streptococcus_parasanguinis_ATCC_15912	1							Clostridium_sp._AL05-1	1			Streptococcus_sp._oral_clone_ASCE06	5
								Salmonella_enterica_subsp._enterica_serovar_Typhimurium	4							Shigella_flexneri_4343-70	2			Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20120497	2
								Clostridium	72							Streptococcus_massiliensis	1			Streptococcus_agalactiae_FSL_S3-170	1
								Clostridium_sp._T2	1							Streptococcus_ferus	2			Staphylococcus_aureus_subsp._aureus_CIGC348	4
								Streptococcus_sp._RR3	3							Shigella_flexneri_K-227	1			Streptococcus_sp._0722XY	4
								Shigella_dysenteriae_1617	4							Salmonella_enterica_subsp._enterica_serovar_Tennessee_str._CDC07-0191	2			Klebsiella_pneumoniae_BIDMC_16	9
								Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20121176	1							Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20121176	3			Escherichia_coli_EC1734	19
								Legionella_pneumophila_subsp._pneumophila	2							Escherichia_coli_B26-2	1			Streptococcus_sp._oral_clone_ASCC04	1
								Streptococcus_anginosus_group	1							Escherichia_coli_P0299438.2	2			Streptococcus_sp._oral_clone_ASCC05	2
								Streptococcus_mutans_UA159	1											Escherichia_coli_EC1738	2
								Streptococcus_thermophilus_LMD-9	1											Staphylococcus_aureus_subsp._aureus_USA300_FPR3757	11
								Clostridium_sp._TW14	1											Escherichia_coli_STEC_B2F1	3
								Streptococcus_canis	2											Streptococcus_sp._DP42	1
																				Escherichia_coli_UMEA_3355-1	2
																				Yersinia_pestis_biovar_Antiqua_str._UG05-0454	1
																				Clostridium_botulinum_H04402_065	1
																				Clostridium_saccharobutylicum_DSM_13864	2
																				uncultured_Bordetella_sp.	1
																				Staphylococcus_aureus_subsp._aureus_PS187	1
																				Clostridium_sp._AN-AS3B	1
																				Clostridium_sp._Culture_Jar-19	1
																				Vibrio_parahaemolyticus_UCM-V493	2
																				Escherichia_coli_UMEA_3113-1	64
																				Legionella_pneumophila_subsp._pneumophila_str._Thunder_Bay	2
																				Streptococcus_sp._oral_clone_ASCA09	1
																				Escherichia_coli_KTE15	2
																				Escherichia_coli_UMNF18	3
																				Escherichia_coli_1.2264	2
																				Escherichia_coli_P0304777.14	3
																				Neisseria_sp._Z_S_TSA_2	7
																				Salmonella_enterica_subsp._enterica_serovar_Matopeni	12
																				Escherichia_coli_KTE46	18
																				Clostridium_sp._enrichment_culture_clone_BR61	1
																				Staphylococcus_aureus_subsp._aureus_MRSA252	1
																				Escherichia_coli_TW11039	1
																				Staphylococcus_aureus_subsp._aureus_ST398	86
																				Shigella_flexneri_2a_str._2457T	4
																				Clostridium_celatum_DSM_1785	2
																				Escherichia_coli_HVH_84_(4-1021478)	18
																				Streptococcus_pyogenes_M1_476	1
																				Escherichia_coli_DEC10A	36
																				Streptococcus_entericus	5
																				Staphylococcus_aureus_M0735	6
																				Clostridium_algoriphilum	1
																				Escherichia_coli_2-210-07_S4_C3	2
																				Shigella_boydii_08-2675	21
																				Clostridium_botulinum_E1_str._'BoNT_E_Beluga'	183
																				Escherichia_coli_HVH_102_(4-6906788)	13
																				Escherichia_coli_HVH_173_(3-9175482)	41
																				Escherichia_coli_DEC12C	6
																				Streptococcus_suis_88-5299A	1
																				Escherichia_coli_DEC12E	1
																				Clostridium_alcaliphilum	1
																				Staphylococcus_aureus_subsp._aureus_CIGC345D	18
																				Streptococcus_agalactiae_SA20-06	1
																				Escherichia_coli_DEC9E	19
																				Bacillus_sp._M41(2010)	1
																				Streptococcus_pneumoniae_SPN032672	3
																				Escherichia_coli_DEC11C	1
																				Escherichia_coli_DEC11D	19
																				Escherichia_coli_DEC10D	17
																				Escherichia_coli_DEC10F	4
																				Escherichia_coli_HVH_91_(4-4638751)	1
																				Escherichia_coli_DEC9C	5
																				Escherichia_coli_DEC14A	1
																				Streptococcus_sp._C2I6	3
																				Streptococcus_sp._C2I9	1
																				Clostridium_sp._M-43	1
																				Escherichia_coli_HVH_79_(4-2512823)	1
																				Escherichia_coli_DEC7B	3
																				Neisseria_meningitidis_NM3081	2
																				Escherichia_coli_B7-2	6
																				Clostridium_botulinum_B	1
																				Escherichia_coli_DEC13C	16
																				Escherichia_coli_DEC13D	5
																				Escherichia_coli_6-319-05_S1_C2	1
																				Escherichia_coli_DEC15C	3
																				Streptococcus_mutans_AC4446	23
																				Clostridium_sp._AG03-4	1
																				Escherichia_coli_DEC4E	6
																				Shigella_flexneri_K-304	6
																				Salmonella_enterica_subsp._enterica_serovar_Manhattan	44
																				Staphylococcus_aureus_subsp._aureus_CIG1242	4
																				Escherichia_coli_DEC3A	1
																				Escherichia_coli_BL21	11
																				Escherichia_coli_2719100	1
																				Escherichia_coli_DEC2A	24
																				Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20100134	1259
																				Streptococcus_constellatus_subsp._constellatus	2
																				Bacillus_thuringiensis_HD-789	3
																				Clostridium_sp._CL-6	1
																				Escherichia_coli_DEC1A	6
																				Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._77-1427	5
																				Streptococcus_pneumoniae_SPN061370	2
																				Escherichia_coli_P0304777.1	19
																				Staphylococcus_aureus_subsp._aureus_CIG1233	1
																				Streptococcus_pyogenes_SP6-LAU	3
																				Bacillus_thuringiensis_Bt407	1
																				Clostridium_hveragerdense	1
																				Streptococcus_pyogenes_SP8-LAU	8
																				Streptococcus_suis_JS14	2
																				Streptococcus_marimammalium	2
																				Streptococcus_agalactiae_STIR-CD-21	3
																				Streptococcus_pneumoniae_GA16242	12
																				Shigella_flexneri_K-272	4
																				Escherichia_coli_UMEA_3592-1	3
																				Clostridium_sp._MT10-4G	2
																				Clostridium_sp._C3	2
																				Clostridium_sp._enrichment_culture_clone_DhR^2/LM-G01	1
																				Clostridium_tyrobutyricum_DSM_2637_=_ATCC_25755_=_JCM_11008	1
																				Clostridium_sp._AG07-9	2
																				Clostridium_botulinum_Bf	8
																				Escherichia_coli_DH1	4
																				Escherichia_coli_TW10722	1
																				Streptococcus_suis_EA1832.92	1
																				Clostridium_sp._E13	1
																				Staphylococcus_aureus_M1016	14
																				Clostridium_estertheticum	1
																				Escherichia_coli_93.0624	4
																				Escherichia_coli_TOP498	4
																				Streptococcus_sp._B5(2011)	2
																				Staphylococcus_aureus_M1236	3
																				Escherichia_coli_O124:H-	6
																				Staphylococcus_aureus_subsp._aureus_ED98	3
																				Salmonella_enterica_subsp._enterica_serovar_Tennessee_str._TXSC_TXSC08-21	7
																				Clostridium_sp._C5S4	1
																				Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20130346	1
																				Escherichia_coli_O111:H-_str._11128	4
																				Escherichia_coli_TOP291	1
																				Escherichia_coli_2720900	1
																				Clostridium_sp._r54	1
																				Clostridium_polyendosporum	1
																				Clostridium_sp._R50	1
																				Clostridium_sp._MCF105	1
																				Escherichia_coli_O111:H8_str._CFSAN001632	1
																				Streptococcus_sp._C8I9	1
																				Streptococcus_sp._2010_Ileo_MS_XVId	3
																				Vibrio_parahaemolyticus_VPCR-2010	1
																				Streptococcus_parauberis_NCFD_2020	18
																				Klebsiella_pneumoniae_30684/NJST258_2	3
																				Escherichia_coli_P0302308.1	4
																				Treponema_sp._feline_oral_taxon_207	1
																				Streptococcus_ovis_DSM_16829	1
																				Helicobacter_pylori_Hp_H-19	3
																				Streptococcus_australis_ATCC_700641	1
																				Salmonella_enterica_subsp._enterica_serovar_Agona_str._05.O.06	1
																				Escherichia_coli_B95	1
																				Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._STm7	9
																				Clostridium_saccharoperbutylacetonicum_N1-4(HMT)	1
																				Escherichia_coli_P0305260.1	1
																				Escherichia_coli_P0298942.1	1
																				Shigella_dysenteriae_225-75	8
																				Escherichia_coli_STEC_MHI813	12
																				Bacillus_sp._M31(2010)	2
																				Streptococcus_sp._B1(2011)	2
																				Shigella_flexneri_2930-71	1
																				Streptococcus_agalactiae_CCUG_44186	2
																				Klebsiella_pneumoniae_MGH_51	5
																				Escherichia_coli_DSM_30083_=_JCM_1649_=_ATCC_11775	4
																				Escherichia_coli_SWW33	14
																				Streptococcus_suis_YS31	2
																				Escherichia_coli_EPEC_C342-62	4
																				Streptococcus_sp._RR3	2
																				Escherichia_coli_O104:H4_str._01-09591	13
																				Escherichia_coli_TOP293-2	5
																				Escherichia_coli_TOP293-3	1
																				Escherichia_coli_TOP293-4	12
																				Staphylococcus_aureus_OCMM6048	2
																				Streptococcus_massiliensis	9
																				Yersinia_pestis_biovar_Orientalis_str._F1991016	3
																				Escherichia_coli_2-210-07_S3_C2	4
																				Streptococcus_ferus	9
																				Shigella_flexneri_K-227	10
																				Salmonella_enterica_subsp._enterica_serovar_Tennessee_str._CDC07-0191	3
																				Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._EC20121176	7
																				Clostridium_sp._AL05-11	1
																				Escherichia_coli_p0305293.1	7
																				Clostridium_perfringens_SM101	2
																				Clostridium_sp._AL05-12	1
																				Clostridium_sp._enrichment_culture_clone_NHT45	2
																				Clostridium_sp._H2-3	2
																				Clostridium_sp._enrichment_culture_clone_NHT37	1
																				Shigella_boydii_4444-74	1
																				Salmonella_enterica_subsp._enterica_serovar_Sandiego	2
																				Escherichia_coli_B26-2	6
																				Shigella_flexneri_K-671	5
																				Clostridium_corinoforum	1
																				Escherichia_coli_EPECa14	2
																				Haemophilus_influenzae_MCCM_02082	2
																				Streptococcus_canis_FSL_Z3-227	1
																				Salmonella_enterica_subsp._enterica_serovar_Typhimurium_var._5-_str._CFSAN001921	1
																				Streptococcus_agalactiae_BSU248	1
																				Escherichia_coli_P0299438.2	3
																				Escherichia_coli_09BKT076207	2
																				Klebsiella_pneumoniae_CHS_30	2
																				Escherichia_coli_BCE008_MS-13	2
																				Escherichia_coli_F11	10
